ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_1LjNTqQF3c5IDyq,20,2,7,5,2,3,4,1,1,2,2,3,4,1,3,3,4,3,3,4,2,2,3,1,3,2,2,1,4,4,3,4,1,1,1
R_2aqs8oGuAL4GIuq,19,2,6,5,2,3,4,1,1,2,2,4,3,3,4,4,4,3,2,1,3,4,3,2,2,2,1,1,4,3,3,3,3,3,3
R_1QiH37l1clD8Pq6,19,2,1,5,2,3,4,1,1,2,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,2,2,2,2,1,1,3,3,3,3
R_3MngN3xhOmdB45W,20,2,5,5,2,3,4,1,1,2,2,4,4,4,4,4,4,1,3,3,1,4,1,2,3,4,3,4,4,3,1,2,3,3,3
R_VKcNWjlTQGy9rMZ,19,1,4,5,2,3,4,1,1,2,2,4,4,1,4,4,3,3,1,1,1,1,1,2,2,2,1,2,2,1,3,3,3,3,1
R_3FX60gZDktLnVk8,19,1,4,5,2,3,4,1,1,2,2,4,3,3,4,4,3,1,1,1,1,3,4,2,2,3,2,4,4,3,2,4,3,3,3
R_3efuwJn582PQPwB,19,2,7,5,2,3,4,1,1,2,2,4,4,2,4,4,3,1,1,2,2,1,1,2,2,4,2,2,2,1,1,4,3,3,3
R_12bhWMqzQ9qjzwf,20,2,2,5,2,3,4,1,1,2,2,4,2,3,2,2,2,3,3,1,2,1,1,1,3,4,3,4,3,4,2,4,4,3,4
R_3ERxU0lieRV1zEU,25,1,6,5,2,3,4,1,1,2,2,4,4,2,4,4,1,1,1,2,1,1,1,3,2,2,2,2,2,3,3,1,3,3,3
R_2ttGt1hx1IAa9zu,18,2,5,5,2,3,4,1,1,2,2,4,3,4,4,4,2,1,1,2,3,2,2,3,2,4,2,1,3,3,3,3,1,2,2
R_2veukWUSoS2xCy2,18,2,1,5,2,3,4,1,1,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_1PXIhhWR44NNkPd,20,2,6,5,3,3,4,0.75,1,2,2,4,4,4,4,4,4,4,3,4,3,3,3,2,2,2,3,2,2,3,3,4,3,3,3
R_2y2S3FmpkGmkz4T,20,1,5,5,2,3,4,1,1,2,2,4,4,4,4,4,4,1,3,1,1,1,2,1,3,2,3,3,1,3,2,1,2,2,3
